t,p,v,theta,omega,u,v_command,solve_ms,qp_ms
46.6,0.2743572506825662,0.07114368910396109,0.0012484594867516983,-0.0003366217004282697,0.009301887959404181,0.1,7.207800001197029,7.062200000291341
46.800000000000004,0.2887250036045714,0.07254748621325446,0.0011912245838090957,-0.00032423694217896537,0.008876998319075107,0.1,6.570300000021234,6.40439999915543
47.0,0.30336708730307155,0.07388648550110896,0.0011361344762734465,-0.00031185697630999563,0.008467797186671474,0.1,6.55670000014652,6.386299999576295
47.2,0.318270791494658,0.07516318172261119,0.0010831810009284397,-0.00029956647404390246,0.00807426792666936,0.1,6.344400000671158,6.205699999554781
47.400000000000006,0.33342390235363617,0.0763800478668657,0.00103234271121367,-0.0002874341393242757,0.007696288633550781,0.1,6.118199999036733,5.97379999999248
47.6,0.34881469690562056,0.07753952201545516,0.0009835874334104637,-0.000275515128559993,0.0073336520574224535,0.1,6.208999999216758,6.074199998693075
47.800000000000004,0.3644319350458916,0.0786439968244099,0.0009368744335735135,-0.00026385312537619346,0.006986082507297934,0.1,6.032200000845478,5.881400000362191
48.0,0.38026484966825114,0.0796958112267738,0.0008921562507931927,-0.0002524821185518229,0.006653250163086545,0.1,7.036999999399995,6.720200000927434
48.2,0.39630313531511335,0.08069724401054905,0.0008493802446054952,-0.00024142792465571723,0.006334783167125574,0.1,6.253700001252582,6.126599999333848
48.400000000000006,0.4125369356953278,0.08165050897642123,0.0008084898976752953,-0.00023070949112936716,0.00603027781421142,0.1,6.211899999470916,6.084700000428711
48.6,0.4289568303612413,0.08255775142233923,0.0007694259091152607,-0.00022034001061431614,0.005739307114427871,0.1,6.418000000849133,6.291300000157207
48.800000000000004,0.44555382078946976,0.0834210457387042,0.0007321271088393772,-0.00021032787303559147,0.005461427964575,0.1,6.345899999359972,6.1606999988725875
49.0,0.4623193160696529,0.08424239392945124,0.0006965312190762243,-0.00020067747827713124,0.005196187130887828,0.1,6.404699999620789,6.260000000111177
49.2,0.47924511837114303,0.0850237249013947,0.0006625754854871203,-0.00019138992910419476,0.004943126217192374,0.1,6.0415999996621395,5.915800000366289
49.400000000000006,0.4963234083283034,0.08576689438747376,0.0006301971971667233,-0.0001824636212516325,0.00470178576809172,0.1,7.139499999539112,6.9957000014255755
49.6,0.5135467304601526,0.08647368538951533,0.0005993341120766338,-0.00017389474524654933,0.004471708635639703,0.1,6.630100000620587,6.475299998783157
49.800000000000004,0.5309079787188735,0.08714580904327428,0.0005699248021156982,-0.0001656777124946626,0.004252442719748824,0.1,6.596000001081848,6.466200000431854
50.0,0.5484003822436797,0.08778490582322318,0.000541908930011204,-0.00015780551641901043,0.004043543176934688,0.1,6.778599999961443,6.625199999689357
50.2,0.5660174913812465,0.08839254701717633,0.0005152274684773202,-0.00015027003792834632,0.0038445741785125467,0.1,6.876499999634689,6.734399999913876
50.400000000000006,0.5837531640209763,0.08897023641164203,0.0004898228705925486,-0.00014306230319485313,0.003655110287773579,0.1,7.475099999282975,7.320200000322075
50.6,0.6016015522824439,0.08951941213805802,0.000465639199062002,-0.00013617270060979278,0.003474737515702888,0.1,8.007599999473314,7.5077000001329
50.800000000000004,0.6195570895831589,0.09004144863798651,0.0004426222209247974,-0.00012959116281332714,0.003303054106210833,0.1,6.773299999622395,6.633900000451831
51.0,0.6376144781070601,0.09053765871212624,0.00042071947331642523,-0.00012330731887630429,0.003139671094494717,0.1,6.561199999850942,6.414800000129617
51.2,0.6557686766876825,0.09100929562378801,0.0003998803050788492,-0.00011731062099089654,0.002984212675794338,0.1,6.771300000764313,6.598399999347748
51.400000000000006,0.6740148891145465,0.09145755523242681,0.00038005589830928684,-0.00011159044941652391,0.00283631641636856,0.1,6.345699999656063,6.1981999988347525
51.6,0.6923485528668459,0.09188357813703982,0.00036119927333553686,-0.00010613619889810518,0.0026956333338375438,0.1,7.3439999996480765,7.1934999996301485
51.800000000000004,0.7107653282748158,0.09228845181283203,0.0003432652800878639,-0.00010093734931896498,0.0025618278700172744,0.1,6.090400000175578,5.9363000000303145
52.0,0.7292610881061442,0.09267321272760565,0.0003262105783932161,-9.598352295540555e-05,0.0024345777759203118,0.1,6.818899999416317,6.676000000879867
52.2,0.7478319075723256,0.09303884842692663,0.0003099936093361143,-9.126453037015553e-05,0.0023135739256462937,0.1,6.785199999285396,6.612700000914629
52.400000000000006,0.76647405474788,0.09338629957932008,0.0002945745595034775,-8.677040668404658e-05,0.0021985200733326813,0.1,6.290799999987939,6.144200000562705
52.6,0.7851839813937934,0.09371646197460932,0.0002799153196505439,-8.249143972073776e-05,0.002089132565171131,0.1,7.3451999996905215,7.1792999988247175
52.800000000000004,0.803958314175307,0.09403018847008529,0.00026597943908479745,-7.841819130373394e-05,0.001985140016624629,0.1,6.712999998853775,6.551300000865012
53.0,0.822793846263248,0.09432829088051613,0.0002527320768593549,-7.454151279870456e-05,0.0018862829633826156,0.1,6.762899998648209,6.607100000110222
53.2,0.8416875293074041,0.094611541809119,0.00024013995069142071,-7.08525558384904e-05,0.001792313493229133,0.1,6.158599999253056,5.99069999952917
53.400000000000006,0.8606364657699578,0.09488067641754475,0.00022817128437117499,-6.734277902821755e-05,0.0017029948648248066,0.1,6.369799999447423,6.242499999643769
53.6,0.8796379016066813,0.0951363941337019,0.00021679575429818737,-6.400395131412728e-05,0.0016181011184118637,0.1,6.469800000559189,6.209400000443566
53.800000000000004,0.8986892192834179,0.09537936029688829,0.00020598443567284764,-6.082815259808409e-05,0.001537416682595443,0.1,6.206600000950857,6.075999999666237
54.0,0.917787931115323,0.09561020774022763,0.000195709748777176,-5.780777209103867e-05,0.0014607359806273483,0.1,6.174099999043392,6.026799999744981
54.2,0.936931672916376,0.09582953831084298,0.0001859454057000403,-5.4935504828263274e-05,0.001387863039006067,0.1,6.314300000667572,5.925199999182951
54.400000000000006,0.9561181979467974,0.09603792432855052,0.00017666635779425377,-5.2204346703503286e-05,0.0013186111006760087,0.1,6.525600001623388,6.1956999998074025
54.6,0.975345371146185,0.09623590998413939,0.0001678487440959682,-4.960758832375919e-05,0.0012528022446639182,0.1,6.272799999351264,6.108199999289354
54.800000000000004,0.9946111636404221,0.09642401267852868,0.0001594698408883278,-4.713880794237225e-05,0.0011902670136160766,0.1,6.348999999318039,6.224599999768543
55.0,1.0139136475106814,0.096602724304266,0.0001515080125503708,-4.479186368592765e-05,0.0011308440503757591,0.1,6.3319000000774395,6.198999999469379
55.2,1.0332509908131555,0.09677251247096526,0.00014394266379790316,-4.2560885255044914e-05,0.0010743797444722153,0.1,6.860900000901893,6.718699998600641
55.400000000000006,1.0526214528384747,0.09693382167638011,0.0001367541933939364,-4.044026525536616e-05,0.0010207278891717713,0.1,6.698299999698065,6.555199999638717
55.6,1.0720233796001133,0.09708707442487555,0.00012992394938210372,-3.842465028161893e-05,0.0009697493495389073,0.1,7.413499999529449,7.2689000007812865
55.800000000000004,1.091455199541451,0.09723267229510608,0.0001234341858763577,-3.650893186405574e-05,0.0009213117418113144,0.1,8.404599999266793,8.246600000347826
56.0,1.1109154194515085,0.09737099695873072,0.00011726802142336253,-3.468823736301331e-05,0.0008752891242493235,0.1,7.094599999618367,6.954500000574626
56.2,1.1304026205797528,0.09750241115200266,0.00011140939894014852,-3.2957920885698985e-05,0.0008315616995186392,0.1,8.594399998401059,8.441900001344038
56.400000000000006,1.149915454940727,0.0976272596020625,0.00010584304721827326,-3.131355428185592e-05,0.0007900155285684774,0.1,10.024700000940356,9.815499999604071
56.6,1.1694526417996287,0.09774586990974678,0.00010055444397655742,-2.975091826758593e-05,0.0007505422559014183,0.1,8.063799999945331,7.6967000004515285
56.800000000000004,1.189012964330314,0.09785855339069477,9.552978043689364e-05,-2.8265993715479235e-05,0.0007130388460669452,0.1,7.35030000032566,7.133400000384427
57.0,1.208595266437565,0.0979656058765014,9.07559273918587e-05,-2.6854953139484206e-05,0.0006774073311633185,0.1,8.051099999647704,7.902800000010757
57.2,1.2281984497357972,0.09806730847762431,8.622040272807087e-05,-2.5514152401382665e-05,0.0006435545691011224,0.1,7.852200000343146,7.647500000530272
